feature,mean_abs_shap
lap_number_norm,0.11334697106668042
pace_degradation,0.06321123955572586
laps_past_expected_pit,0.0534149827700222
laps_in_current_stint,0.052938942279395704
tyre_age,0.046349428905117895
position,0.031994572438853196
compound_hard,0.03110091118712772
compound_medium,0.009666136060965455
compound_soft,0.002590202467606226
